date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-Apr-21,Sikkim,two wheelers,0,398
01-Apr-21,Sikkim,four wheelers,0,361
01-May-21,Sikkim,two wheelers,0,113
01-May-21,Sikkim,four wheelers,0,98
01-Jun-21,Sikkim,two wheelers,0,229
01-Jun-21,Sikkim,four wheelers,0,244
01-Jul-21,Sikkim,two wheelers,0,458
01-Jul-21,Sikkim,four wheelers,0,452
01-Aug-21,Sikkim,two wheelers,0,489
01-Aug-21,Sikkim,four wheelers,0,408
01-Sep-21,Sikkim,two wheelers,0,540
01-Sep-21,Sikkim,four wheelers,0,355
01-Oct-21,Sikkim,two wheelers,0,455
01-Oct-21,Sikkim,four wheelers,0,345
01-Nov-21,Sikkim,two wheelers,0,478
01-Nov-21,Sikkim,four wheelers,0,351
01-Dec-21,Sikkim,two wheelers,0,454
01-Dec-21,Sikkim,four wheelers,0,394
01-Jan-22,Sikkim,two wheelers,0,400
01-Jan-22,Sikkim,four wheelers,0,270
01-Feb-22,Sikkim,two wheelers,0,384
01-Feb-22,Sikkim,four wheelers,0,371
01-Mar-22,Sikkim,two wheelers,0,460
01-Mar-22,Sikkim,four wheelers,0,390
01-Apr-22,Sikkim,two wheelers,0,455
01-Apr-22,Sikkim,four wheelers,0,380
01-May-22,Sikkim,two wheelers,0,461
01-May-22,Sikkim,four wheelers,0,421
01-Jun-22,Sikkim,two wheelers,0,429
01-Jun-22,Sikkim,four wheelers,0,446
01-Jul-22,Sikkim,two wheelers,0,409
01-Jul-22,Sikkim,four wheelers,0,439
01-Aug-22,Sikkim,two wheelers,0,394
01-Aug-22,Sikkim,four wheelers,0,421
01-Sep-22,Sikkim,two wheelers,0,443
01-Sep-22,Sikkim,four wheelers,0,581
01-Oct-22,Sikkim,two wheelers,0,371
01-Oct-22,Sikkim,four wheelers,0,340
01-Nov-22,Sikkim,two wheelers,0,431
01-Nov-22,Sikkim,four wheelers,0,411
01-Dec-22,Sikkim,two wheelers,0,274
01-Dec-22,Sikkim,four wheelers,0,288
01-Jan-23,Sikkim,two wheelers,0,470
01-Jan-23,Sikkim,four wheelers,0,420
01-Feb-23,Sikkim,two wheelers,0,324
01-Feb-23,Sikkim,four wheelers,0,364
01-Mar-23,Sikkim,two wheelers,0,454
01-Mar-23,Sikkim,four wheelers,0,505
01-Apr-23,Sikkim,two wheelers,0,465
01-Apr-23,Sikkim,four wheelers,0,439
01-May-23,Sikkim,two wheelers,0,507
01-May-23,Sikkim,four wheelers,0,448
01-Jun-23,Sikkim,two wheelers,0,517
01-Jun-23,Sikkim,four wheelers,0,457
01-Jul-23,Sikkim,two wheelers,0,423
01-Jul-23,Sikkim,four wheelers,0,371
01-Aug-23,Sikkim,two wheelers,0,465
01-Aug-23,Sikkim,four wheelers,0,460
01-Sep-23,Sikkim,two wheelers,0,546
01-Sep-23,Sikkim,four wheelers,0,509
01-Oct-23,Sikkim,two wheelers,0,398
01-Oct-23,Sikkim,four wheelers,0,389
01-Nov-23,Sikkim,two wheelers,0,470
01-Nov-23,Sikkim,four wheelers,0,403
01-Dec-23,Sikkim,two wheelers,0,365
01-Dec-23,Sikkim,four wheelers,0,318
01-Jan-24,Sikkim,two wheelers,0,509
01-Jan-24,Sikkim,four wheelers,0,422
01-Feb-24,Sikkim,two wheelers,0,408
01-Feb-24,Sikkim,four wheelers,0,375
01-Mar-24,Sikkim,two wheelers,0,399
01-Mar-24,Sikkim,four wheelers,0,455
01-Apr-21,Andaman & Nicobar Island,two wheelers,0,515
01-Apr-21,Arunachal Pradesh,two wheelers,0,1256
01-Apr-21,Arunachal Pradesh,four wheelers,0,724
01-Apr-21,Assam,four wheelers,0,6576
01-Apr-21,Chhattisgarh,four wheelers,0,1563
01-Apr-21,DNH and DD,four wheelers,0,278
01-Apr-21,Jammu and Kashmir,four wheelers,0,5107
01-Apr-21,Ladakh,two wheelers,0,2
01-Apr-21,Ladakh,four wheelers,0,20
01-Apr-21,Manipur,four wheelers,0,808
01-Apr-21,Meghalaya,two wheelers,0,1189
01-Apr-21,Mizoram,two wheelers,0,1507
